Agente Financeiro;CPF/CNPJ do Contratante;Nome / Razão Social;UF;Município; Valor Contratado ;Data Início do Contrato;Data Fim do Contrato;Prazo (Meses);Carência (Meses);Spread Bancário;Fin. Taxa de Atualização Monetária;Finalidade do Financiamento;Atividade Turística;Porte da Empresa;CNAE;Descrição CNAE
BANCO MONEO S.A.;985027000180;BRUNATUR AGENCIA DE VIAGENS E TURISMO LTDA;SC;MARAVILHA; R$ 1.701.600,00 ;27/01/2026;21/01/2031;60;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;MICROEMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;1693660000168;CANTELLETUR TURISMO LTDA;BA;ARACI; R$ 761.004,00 ;30/01/2026;21/01/2031;60;;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;PEQUENA_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;45523719000145;TRANSMIMO LTDA.;SP;VALINHOS; R$ 1.050.000,00 ;06/02/2026;21/02/2031;60;6;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;MEDIA_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;32305500000128;TOP RIO VIAGENS E TURISMO LTDA.;RJ;RIO DE JANEIRO; R$ 1.184.700,00 ;20/02/2026;21/02/2031;60;6;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;MEDIA_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;87788931000184;JANIZ TRANSPORTES LTDA.;RS;CANOAS; R$ 1.284.000,00 ;25/02/2026;21/02/2031;60;3;5;INPC;BEM;TRANSPORTADORA TURÍSTICA;MEDIA_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
CRESOL BRASIL - CRESOL CENTRAL BRASIL;1613995000129;RADA TRANSPORTE E TURISMO LTDA.;RS;ANTÔNIO PRADO; R$ 543.463,17 ;23/01/2026;15/02/2036;117;3;5;INPC;CAPITAL GIRO;TRANSPORTADORA TURÍSTICA;PEQUENA_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
CRESOL BRASIL - CRESOL CENTRAL BRASIL;4420003000135;ERVALTUR TURISMO LTDA;RS;ERVAL GRANDE; R$ 300.000,00 ;16/01/2026;15/02/2036;96;24;5;INPC;CAPITAL GIRO;TRANSPORTADORA TURÍSTICA;PEQUENA_EMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
CRESOL SICOPER - CENTRAL CRESOL SICOPER;5018776000152;TRANSPORTES TRAESEL LTDA;RS;SANTA CRUZ DO SUL; R$ 40.000,00 ;09/01/2026;15/04/2031;60;3;5;INPC;CAPITAL GIRO;TRANSPORTADORA TURÍSTICA;MICROEMPRESA;4929902;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
BANCO MONEO S.A.;17159325000114;TRANSPORTES MAURICIO LTDA;SC;CAPINZAL; R$ 668.000,00 ;12/01/2026;23/12/2030;60;;5;INPC;BEM;AGÊNCIA DE TURISMO;PEQUENA_EMPRESA;4929903;ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, MUNICIPAL
BANCO MONEO S.A.;18046006000165;LC TRANSPORTE E TURISMO LTDA;SC;LAGES; R$ 258.000,00 ;12/01/2026;21/12/2029;48;;5;INPC;BEM;AGÊNCIA DE TURISMO;MICROEMPRESA;4929903;ORGANIZAÇÃO DE EXCURSÕES EM VEÍCULOS RODOVIÁRIOS PRÓPRIOS, MUNICIPAL
